ad,tur,sehir,website,logo,adres
İBN HALDUN ÜNİVERSİTESİ,Vakıf,İstanbul,https://www.ihu.edu.tr,assets/img/logo/274887.png,Başak Mah. Ordu Cad. F-05 Blok No:3 P.K. 34480 Başakşehir/İST.
İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,Vakıf,Ankara,http://www.bilkent.edu.tr/,assets/img/logo/105118.png,Üniversiteler Mahallesi 1609 Sokak No:10 06800 Bilkent / Ankara
İNÖNÜ ÜNİVERSİTESİ,Devlet,Malatya,http://www.inonu.edu.tr/,assets/img/logo/114436.png,İnönü Üniversitesi Kampüsü Elazığ Yolu 15. Km. 44280 MALATYA
İSKENDERUN TEKNİK ÜNİVERSİTESİ,Devlet,Hatay,https://www.iste.edu.tr,assets/img/logo/274882.png,"İskenderun Teknik Üniversitesi Rektörlüğü Merkez Kampüs 31200 
İskenderun/HATAY"
İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Vakıf,İstanbul,http://www.29mayis.edu.tr,assets/img/logo/163900.png,"Elmalıkent Mah. Elmalıkent Cad. No:4
Ümraniye / İSTANBUL"
İSTANBUL AREL ÜNİVERSİTESİ,Vakıf,İstanbul,http://www.arel.edu.tr,assets/img/logo/114773.png,İstanbul Arel Üniversitesi -Türkoba Mah. Erguvan Sokak No: 26/K Tepekent-B.Çekmece/İSTANBUL
İSTANBUL ATLAS ÜNİVERSİTESİ,Vakıf,İstanbul,https://www.atlas.edu.tr,assets/img/logo/339995.png,Hamidiye Mahallesi Anadolu Caddesi No:40/2 Kağıthane/İSTANBUL
İSTANBUL AYDIN ÜNİVERSİTESİ,Vakıf,İstanbul,http://www.aydin.edu.tr,assets/img/logo/114827.png,Florya Halit Aydın Kampüsü Beşyol Mah. İnönü Cad. No: 38 Sefaköy-Küçükçekmece/İSTANBUL
İSTANBUL BEYKENT ÜNİVERSİTESİ,Vakıf,İstanbul,https://www.beykent.edu.tr,assets/img/logo/448766.png,"Ayazağa Mahallesi, Hadım Koru Yolu Caddesi, No:19 Sarıyer/İSTANBUL"
İSTANBUL BİLGİ ÜNİVERSİTESİ,Vakıf,İstanbul,https://www.bilgi.edu.tr,assets/img/logo/114907.png,Eski Silahtarağa Elektrik Santralı Kazım Karabekir Cad. No: 2/13 34060 Eyüpsultan İstanbul
İSTANBUL ESENYURT ÜNİVERSİTESİ,Vakıf,İstanbul,http://www.esenyurt.edu.tr,assets/img/logo/241174.png,Zafer Mah. Adile Naşit Bulvarı No:1 Esenyurt-İSTANBUL
İSTANBUL GALATA ÜNİVERSİTESİ,Vakıf,İstanbul,https://www.galata.edu.tr,assets/img/logo/391144.png,Evliya Çelebi Mahallesi Meşrutiyet Caddesi No: 62 Tepebaşı/Beyoğlu/İstanbul
İSTANBUL GEDİK ÜNİVERSİTESİ,Vakıf,İstanbul,https://www.gedik.edu.tr,assets/img/logo/315098.png,Cumhuriyet Mahallesi İlkbahar Sokak No: 1 Yakacık 34876 Kartal İstanbul
İSTANBUL GELİŞİM ÜNİVERSİTESİ,Vakıf,İstanbul,https://www.gelisim.edu.tr,assets/img/logo/130959.png,Cihangir Mahallesi Şehit Jandarma Komando Er Hakan Öner Sk. No:1 Avcılar / İSTANBUL
İSTANBUL KENT ÜNİVERSİTESİ,Vakıf,İstanbul,https://www.kent.edu.tr,assets/img/logo/302687.png,Cihangir Mahallesi Sıraselviler Caddesi No:71 34433 Beyoğlu İSTANBUL
